Model	Displ	Cyl	Trans	Drive	Fuel	Cert Region	Stnd	Stnd Description	Underhood ID	Veh Class	Air Pollution Score	City MPG	Hwy MPG	Cmb MPG	Greenhouse Gas Score	SmartWay	Comb CO2
BMW 530e	2	4	SemiAuto-8	4WD	Gasoline/Electricity	FA	T3B30	Federal Tier 3 Bin 30	KBMXV02.0H30	small car	7	27/66	31/68	28/67	10	Elite	200
BMW 530i	2	4	SemiAuto-8	2WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	midsize car	7	24	34	27	6	No	324
BMW 530i	2	4	SemiAuto-8	2WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	midsize car	7	24	34	27	6	No	324
BMW 530i	2	4	SemiAuto-8	4WD	Gasoline	CA	L3SULEV30	California LEV-III SULEV30	KBMXJ02.0B4X	midsize car	7	23	33	27	6	No	331
BMW 530i	2	4	SemiAuto-8	4WD	Gasoline	FA	T3B30	Federal Tier 3 Bin 30	KBMXJ02.0B4X	midsize car	7	23	33	27	6	No	331
BMW 540i	3	6	SemiAuto-8	2WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	KBMXJ03.0B5X	midsize car	5	21	29	24	5	No	371
BMW 540i	3	6	SemiAuto-8	2WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	KBMXJ03.0B5X	midsize car	5	21	29	24	5	No	371
BMW 540i	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	KBMXJ03.0B5X	midsize car	5	21	29	24	5	No	371
BMW 540i	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B70	Federal Tier 3 Bin 70	KBMXJ03.0B5X	midsize car	5	21	29	24	5	No	371
BMW 640i Gran Coupe	3	6	SemiAuto-8	2WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXJ03.0F16	small car	3	20	29	23	5	No	378
BMW 640i Gran Coupe	3	6	SemiAuto-8	2WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXJ03.0F16	small car	3	20	29	23	5	No	378
BMW 640i Gran Coupe	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV125	California LEV-III ULEV125	KBMXJ03.0F16	small car	3	19	28	22	4	No	397
BMW 640i Gran Coupe	3	6	SemiAuto-8	4WD	Gasoline	FA	T3B125	Federal Tier 3 Bin 125	KBMXJ03.0F16	small car	3	19	28	22	4	No	397
BMW 640i Gran Turismo	3	6	SemiAuto-8	4WD	Gasoline	CA	L3ULEV70	California LEV-III ULEV70	KBMXJ03.0B5X	large car	5	20	28	23	5	No	388
